word1,word2,label
undergo,flow,1
steep,leap,1
downtown,bridge,0
agree,knee,1
ear,pale,0
yard,guard,1
esteem,seem,1
sculpture,marble,0
die,identify,1
horizon,god,0
moon,tune,1
carrier,quick,0
ill,brazil,1
overhead,ted,1
grand,command,1
versus,income,0
apart,smart,1
clay,pray,1
gold,rolled,1
household,rolled,1
basal,yellow,0
broke,safety,0
why,guy,1
weekend,holiday,0
concrete,oak,0
will,bill,1
freeze,narrow,0
structure,exterior,0
mask,hair,0
fishing,harbor,0
rolled,told,1
parking,bridge,0
depth,bottom,0
wine,wall,0
arctic,ice,0
sheer,disappear,1
spectral,men,0
abdomen,olive,0
thumb,gesture,0
flag,pink,0
sigh,nearby,1
cognitive,spirit,0
spread,read,1
routine,machine,1
yellow,colors,0
summit,falling,0
horse,outer,0
smell,parallel,1
versus,census,0
organ,lens,0
kingdom,princess,0
pour,before,1
design,outline,1
brand,strand,1
painting,graphic,0
throne,duke,0
drill,kill,1
holiday,celebrated,0
due,clue,1
wine,deer,0
kick,tennis,0
part,art,1
factory,panel,0
load,node,1
enemy,mask,0
amplifier,acquire,1
inland,harbour,0
decline,benign,1
welfare,hardware,1
arena,bases,0
painter,dining,0
bone,zone,1
acquire,prior,1
personnel,hotel,1
pine,plastic,0
island,mouth,0
overhead,fled,1
goddess,earth,0
protocol,all,1
advocate,weak,0
alone,known,1
combat,format,1
beer,hemisphere,1
instead,said,1
skill,brazil,1
likewise,emphasize,1
ran,tan,1
blood,hearts,0
das,bass,1
sold,threshold,1
gallery,dining,0
outlook,hook,1
colour,white,0
calendar,celebrated,0
purple,grey,0
japan,plan,1
behind,bind,1
folklore,pour,1
sealed,shield,1
delight,white,1
severe,engineer,1
assigned,bind,1
cemetery,summit,0
phone,tone,1
can,san,1
fur,clothing,0
pain,maintain,1
sing,ring,1
skin,green,0
prey,they,1
play,stay,1
meditation,psychology,0
leaves,yellow,0
rabbit,fancy,0
optical,colors,0
bore,furthermore,1
mac,black,1
compromise,surprise,1
steam,extreme,1
comes,locality,0
drought,fell,0
shield,worn,0
code,episode,1
tower,curve,0
water,wet,0
influence,weak,0
green,white,0
upright,sight,1
pass,gas,1
compromise,recognize,1
colors,tank,0
lean,screen,1
fancy,lion,0
blue,color,0
revealed,yield,1
shield,revealed,1
fired,department,0
quarter,percentage,0
base,race,1
neighborhood,climb,0
nat,pat,1
terrain,contain,1
enzyme,derived,0
sat,habitat,1
premier,sincere,1
brain,thinking,0
resemblance,opposition,0
crown,breakdown,1
poetry,prayer,0
noun,around,1
duke,prince,0
beam,laser,0
brace,trace,1
blue,flag,0
kind,bind,1
guy,foolish,0
pink,wearing,0
poetry,comic,0
palm,shoulder,0
spell,well,1
fur,thick,0
jar,far,1
truck,chase,0
figure,component,0
arc,clark,1
college,jump,0
pan,fan,1
regard,card,1
freeze,beneath,0
store,bore,1
likewise,arise,1
manuscript,comic,0
mar,radar,1
wrong,hong,1
mar,are,1
distinction,indication,0
celebration,calendar,0
micro,otto,1
ratio,glow,1
manuscript,publisher,0
scan,japan,1
avenue,downtown,0
attack,syndrome,0
solar,conference,0
lack,stack,1
gain,reign,1
leap,sheep,1
beach,mouth,0
lighting,door,0
railroad,episode,1
kit,white,0
seat,meet,1
lane,corner,0
panel,window,0
department,smoke,0
shame,fame,1
command,brand,1
quick,patrol,0
fleet,heat,1
weak,commitment,0
coat,orange,0
circle,wood,0
sea,freeze,0
porch,roof,0
fall,warm,0
pole,crash,0
motor,passenger,0
wounded,fired,0
forest,lightning,0
trace,grace,1
art,architecture,0
heir,cole,0
spirit,thinking,0
drove,thrown,0
habitat,hat,1
routine,saline,1
along,song,1
san,fan,1
sculpture,exterior,0
vehicle,driving,0
crown,around,1
despair,questionnaire,1
hook,textbook,1
combat,nat,1
remark,bark,1
along,wrong,1
imply,guy,1
fleet,meat,1
resemblance,enough,0
long,belong,1
altar,tube,0
brace,place,1
quick,efficient,0
disk,rock,0
elsewhere,square,1
goal,marshal,0
thinking,self,0
come,true,0
winter,weather,0
bread,dead,1
bark,park,1
far,reservoir,1
sheep,asleep,1
glow,toe,1
tune,afternoon,1
fun,begun,1
palm,sword,0
falling,fell,0
partial,goddess,0
mankind,confined,1
patrol,chain,0
sheriff,university,0
par,star,1
rainfall,causing,0
cave,canyon,0
enzyme,comes,0
sky,apparent,0
faster,enough,0
gas,brass,1
shell,cell,1
lined,remind,1
soul,cognitive,0
medium,visible,0
flag,leaves,0
palm,gesture,0
pale,bay,0
metal,temperature,0
blue,hat,0
revealed,sealed,1
design,genuine,1
leg,pitch,0
cognitive,psychology,0
residential,lane,0
load,vein,0
guard,regard,1
chips,fabric,0
smoke,protection,0
moon,june,1
hill,arctic,0
avenue,overview,1
lamp,reflected,0
encyclopedia,spectral,0
require,buyer,1
assigned,lined,1
role,lock,0
gas,alas,1
revealed,concealed,1
loss,purple,0
inscription,wall,0
holiday,celebration,0
combat,flat,1
blame,shame,1
alcohol,recall,1
calendar,holiday,0
mice,fancy,0
none,begun,1
load,episode,1
cook,took,1
dynasty,cole,0
vehicle,fitted,0
reality,sea,1
dan,tan,1
zone,prone,1
flame,shame,1
beam,intensity,0
color,shirt,0
chase,interface,1
joe,undergo,1
moon,afternoon,1
yield,shield,1
eat,beat,1
tower,cast,0
enemy,protection,0
indication,danger,0
bay,arrow,0
guard,courtyard,1
men,guy,0
designed,outlined,1
mask,neck,0
quarter,artillery,0
four,outdoor,1
spectral,man,0
arm,palm,0
around,down,1
place,workplace,1
soul,meditation,0
temple,tower,0
mac,prince,0
personnel,smell,1
park,mark,1
train,brain,1
wind,influence,0
skin,shirt,0
shopping,bridge,0
telephone,limestone,1
dwell,gel,1
enough,advocate,0
strand,land,1
allies,prize,1
dye,colour,0
routine,clean,1
seat,wheat,1
rat,bat,1
plea,tea,1
behold,threshold,1
drive,labor,0
consciousness,philosophy,0
rely,reply,1
gold,enrolled,1
definition,voltage,0
thrown,blown,1
minimize,recognize,1
satellite,knight,1
embrace,place,1
red,colors,0
interpretation,sleep,0
beer,tube,0
boat,drive,0
patrol,reactor,0
poverty,median,0
race,brace,1
hello,low,1
slow,patrol,0
soil,bottom,0
pine,assign,1
scan,span,1
last,blast,1
place,bass,1
main,retain,1
tail,tiger,0
conference,magnitude,0
soul,thinking,0
colors,visible,0
plastic,distinction,0
wheat,beat,1
black,feedback,1
role,factor,0
shirt,colors,0
girl,interpretation,0
soil,narrow,0
nose,mask,0
snow,fog,0
commissioner,enrolled,0
rain,precipitation,0
war,classification,0
height,unite,1
sequence,sleep,0
dean,magazine,1
refer,ref,0
ruler,spectral,0
grand,demand,1
irregular,knight,0
son,everyone,1
hygiene,dean,1
driving,drove,0
pink,bull,0
glasses,metal,0
hair,purple,0
concrete,roof,0
fold,hold,1
alkaline,combine,1
beach,lake,0
gel,fell,1
convey,railway,1
comprise,rise,1
component,lock,0
sheet,suite,1
seminar,far,1
touch,caught,0
shaft,freeze,0
zone,alone,1
undergo,potato,1
brand,expand,1
rabbi,encyclopedia,0
aluminum,transition,0
nine,wine,1
assigned,resigned,1
aim,shame,1
run,anyone,1
photo,row,1
sheet,retreat,1
angel,costa,0
roof,circle,0
sealed,concealed,1
scheme,cream,1
province,density,0
devil,bowl,0
voltage,elementary,0
bright,delight,1
leap,cheap,1
football,all,1
altitude,commissioner,0
guy,die,1
shoe,through,1
water,damage,0
temperature,heavy,0
look,cook,1
green,shade,0
derived,meaning,0
jack,crack,1
trace,case,1
diabetes,cardiovascular,0
shield,yellow,0
gay,jay,1
rely,bye,1
fee,thee,1
lion,green,0
chain,speed,0
mold,hold,1
utilize,surprise,1
inland,sand,1
shoe,coup,1
slow,medium,0
overview,clue,1
refer,locality,0
pass,spin,0
extreme,cream,1
brown,gray,0
sing,thing,1
opponent,spin,0
restore,war,1
allies,likewise,1
art,graphic,0
dressed,face,0
artillery,burnt,0
median,incorporated,0
ing,thing,1
rainfall,wall,1
concrete,marble,0
moon,immune,1
spelling,word,0
freezing,wet,0
into,through,1
author,printed,0
wheel,racing,0
tight,unite,1
crew,due,1
cast,clock,0
into,screw,1
enrolled,university,0
allies,comprise,1
courtyard,card,1
newspaper,bowl,0
cognitive,mental,0
stare,warfare,1
porch,decorated,0
string,everything,1
cardiac,failure,0
college,elementary,0
feedback,mac,1
fed,shed,1
toe,although,1
altitude,enrolled,0
storm,falling,0
deer,near,1
tune,immune,1
start,smart,1
gray,collar,0
ill,until,1
baseball,install,1
arctic,cover,0
swing,ring,1
calendar,weekend,0
advocate,emphasis,0
see,tea,1
find,designed,1
rode,episode,1
bark,mark,1
assign,shrine,1
whether,distinction,0
figure,factor,0
kind,defined,1
scheme,steam,1
gas,mass,1
colour,clothes,0
tin,snake,0
charming,frozen,0
wounded,burned,0
mean,clean,1
knee,three,1
linking,passing,0
ignore,core,1
finger,thumb,0
hook,handbook,1
land,finland,1
mice,snake,0
thee,three,1
see,lee,1
furthermore,more,1
keep,cheap,1
safety,truck,0
goal,artillery,0
anything,bring,1
cast,contrast,1
defined,confined,1
bridge,road,0
man,foolish,0
volunteer,pioneer,1
element,lock,0
pie,lie,1
white,deer,0
gun,fun,1
place,race,1
sing,spring,1
why,cry,1
protocol,fall,1
telephone,own,1
mac,cole,0
artillery,damage,0
deer,chile,0
blood,pulmonary,0
ton,gun,1
voltage,altitude,0
margin,irregular,0
nose,neck,0
attack,feedback,1
henry,heir,0
cart,counterpart,1
although,grow,1
furniture,metal,0
auto,fitted,0
skill,still,1
value,hair,0
black,track,1
fell,forest,0
whether,channel,0
algorithm,flowing,0
abdomen,costa,0
enemy,burn,0
art,furniture,0
beauty,clothing,0
pulmonary,cardiac,0
drove,hit,0
array,lay,1
find,wind,1
chase,race,1
clan,japan,1
distance,orbit,0
transition,wall,0
celebration,weekend,0
hair,commonwealth,0
row,know,1
old,bold,1
forecast,caste,1
sweep,cheap,1
goddess,rising,0
cheap,steep,1
start,cart,1
site,upright,1
chocolate,green,0
cart,part,1
thin,tube,0
until,kill,1
wheat,incomplete,1
enterprise,arise,1
deer,tiger,0
author,tales,0
magnetic,kick,0
bridge,inscription,0
palace,kingdom,0
threshold,fold,1
spine,shrine,1
good,would,1
ridge,cemetery,0
tear,career,1
someone,one,1
concealed,shield,1
flat,habitat,1
totally,diameter,0
ton,run,1
black,dot,0
spectral,advice,0
henry,crown,0
passenger,rear,0
buy,supply,1
class,ass,1
aluminum,wine,0
cast,past,1
offense,score,0
sword,thumb,0
self,spirit,0
fee,guarantee,1
start,part,1
bold,rolled,1
ruler,foolish,0
bare,wear,1
affected,gauge,0
suspension,fitted,0
washed,forest,0
fun,been,1
terrain,complain,1
fancy,tail,0
understand,band,1
author,comic,0
stare,air,1
neck,facial,0
tomorrow,hello,1
pat,combat,1
spirit,psychology,0
jack,track,1
flag,colors,0
grand,understand,1
receipt,neat,1
yard,offense,0
horse,cavalry,0
wore,explore,1
role,figure,0
chase,rear,0
otto,glow,1
colour,face,0
afterward,afterwards,0
mine,spine,1
arm,grip,0
temperature,lion,0
bridge,hamlet,0
son,anyone,1
strand,expand,1
month,rainfall,0
cardiac,attack,1
moisture,forest,0
wild,coat,0
sequence,pop,0
parking,auto,0
brigade,artillery,0
door,ignore,1
curve,cast,0
route,junction,0
slow,chain,0
good,should,1
clothes,skin,0
rolled,behold,1
stroke,cemetery,0
definition,jump,0
childhood,neighborhood,1
dwell,hotel,1
finland,strand,1
philosophy,self,0
beat,sheet,1
black,colors,0
mode,railroad,1
atmosphere,moon,0
fog,fall,0
window,factory,0
overview,who,1
purple,color,0
channel,distinction,0
sphere,hemisphere,1
retreat,receipt,1
spectral,wisdom,0
stood,should,1
assign,alkaline,1
hormone,telephone,1
danger,distinction,0
beer,unclear,1
girl,reality,0
hung,curve,0
ford,engine,0
reality,pop,0
thick,layer,0
photo,slow,1
gene,vaccine,1
residential,linking,0
incorporated,versus,0
mode,bowed,1
dead,bed,1
ass,gas,1
advice,rabbi,0
arrow,leaves,0
weak,opposition,0
chapter,poetry,0
flag,black,0
duke,crown,0
patrol,arctic,0
bat,hat,1
advocate,opposition,0
apparent,goddess,0
keep,sweep,1
supply,tie,1
spectrum,darkness,0
pack,track,1
knee,degree,1
keep,steep,1
sheet,meet,1
neck,cutting,0
load,railroad,1
neck,hair,0
mill,still,1
consciousness,soul,0
kidney,cemetery,0
philosophy,brain,0
wing,singh,1
devil,newspaper,0
nowhere,compare,1
bass,brass,1
trace,race,1
wrong,belong,1
breakdown,down,1
fur,chest,0
stood,good,1
mankind,refined,1
northwest,avenue,0
whereby,lie,1
thirteen,protein,1
conference,diameter,0
assign,define,1
shirt,orange,0
space,water,0
mankind,blind,1
altar,organ,0
around,downtown,1
blue,bay,0
look,hook,1
screw,crew,1
read,widespread,1
spelling,comes,0
transverse,horror,0
seem,stream,1
ruler,counsel,0
square,province,0
mud,dry,0
depression,purple,0
indication,plastic,0
fell,cell,1
commitment,opposition,0
water,mild,0
format,habitat,1
workplace,pace,1
format,sat,1
noun,crown,1
obey,convey,1
jack,pack,1
tiger,jerry,0
prior,amplifier,1
until,drill,1
higher,desire,1
pro,micro,1
asleep,sweep,1
explosion,alarm,0
belong,song,1
syndrome,rate,0
run,gun,1
pink,dress,0
wind,gauge,0
enemy,hair,0
past,caste,1
income,median,0
personnel,well,1
counterpart,chart,1
hart,counterpart,1
cast,blast,1
literally,locality,0
esteem,steam,1
stand,land,1
soil,load,0
offense,hit,0
speed,algorithm,0
dare,prepare,1
mouse,coat,0
bar,seminar,1
affair,hardware,1
spread,ted,1
for,your,1
downtown,brown,1
far,par,1
surprise,rise,1
game,shame,1
island,railroad,0
delay,cold,0
shade,bowl,0
marshal,quantum,0
true,theater,0
sustainable,pale,0
noon,tune,1
quo,below,1
divine,assign,1
gallery,architecture,0
surprise,arise,1
stay,say,1
band,inland,1
toe,grow,1
interfere,frontier,1
pro,slow,1
arctic,removal,0
color,optical,0
drought,moisture,0
aim,frame,1
tea,three,1
wisdom,men,0
more,nor,1
warm,cloud,0
leather,exterior,0
automobile,pit,0
fabric,pulp,0
darkness,cemetery,0
threshold,mold,1
magnetic,quantum,0
bed,led,1
that,mat,1
situated,income,0
brain,gain,1
embrace,interface,1
imagine,hearing,0
square,share,1
neighborhood,understood,1
spare,rare,1
grip,thumb,0
call,hall,1
clock,rang,0
june,immune,1
can,plan,1
rolled,old,1
printed,manuscript,0
sheriff,jump,0
nat,hat,1
feedback,cardiac,1
links,enough,0
reservoir,par,1
through,avenue,1
bowed,episode,1
came,frame,1
esteem,scheme,1
statue,shoe,1
smell,sell,1
grip,shoulder,0
furniture,tube,0
holiday,parade,0
rare,dare,1
temperature,blood,0
jail,furniture,0
true,girl,0
forecast,last,1
guy,ruler,0
cast,telephone,0
god,belt,0
statue,timber,0
celebrated,weekend,0
combined,resigned,1
wing,string,1
author,chapter,0
clean,machine,1
combine,pine,1
satisfy,guy,1
mat,fat,1
reign,grain,1
department,killing,0
girl,sleep,0
apart,art,1
racing,pole,0
regard,yard,1
pat,hat,1
whether,danger,0
limestone,unknown,1
pole,accident,0
reservoir,fishing,0
temperature,radius,0
flag,tea,0
one,anyone,1
childhood,hood,1
remain,vain,1
meaning,comes,0
hook,shook,1
decree,plea,1
fulfill,bill,1
sweep,steep,1
colour,pale,0
lead,spread,1
beer,liquid,0
bowed,node,1
widespread,lead,1
team,seem,1
henry,princess,0
gas,last,1
jar,reservoir,1
singh,anything,1
deny,specify,1
rainfall,protocol,1
hotel,farewell,1
nat,habitat,1
degree,three,1
genuine,divine,1
dwell,rebel,1
card,guard,1
visible,rail,0
museum,jail,0
sell,parallel,1
manufacture,steel,0
knee,see,1
noun,downtown,1
neighborhood,cemetery,0
plea,see,1
unknown,phone,1
blow,shadow,1
store,cor,1
thick,narrow,0
stream,theme,1
vast,last,1
till,until,1
shadow,vegetation,0
line,crystalline,1
questionnaire,everywhere,1
northwest,street,0
blind,remind,1
versus,square,0
could,understood,1
same,game,1
lane,street,0
limestone,prone,1
buyer,amplifier,1
reality,she,1
queen,magazine,1
wounded,truck,0
transit,reflected,0
dress,color,0
understand,strand,1
ratio,borrow,1
princess,dynasty,0
hong,long,1
string,offspring,1
washed,fog,0
sleep,asleep,1
corps,furthermore,1
newspaper,thereby,0
require,entire,1
faster,quick,0
prey,ray,1
told,bold,1
throat,narrow,0
courtyard,regard,1
neck,commonwealth,0
jerry,mouse,0
word,derived,0
cane,vain,1
owe,ratio,1
junction,northwest,0
fifteen,lean,1
sand,finland,1
rental,driven,0
vast,broadcast,1
quantum,artillery,0
scattering,rail,0
blown,zone,1
dynasty,henry,0
blast,forecast,1
parallel,shell,1
bold,household,1
sweep,sleep,1
worn,note,0
everything,offspring,1
ass,last,1
past,contrast,1
vector,percentage,0
vein,gain,1
furthermore,ore,1
anything,thing,1
land,demand,1
disease,chest,0
said,head,1
neighborhood,elevation,0
alone,blown,1
deny,occupy,1
bill,kill,1
call,small,1
contrast,forecast,1
lamp,laser,0
own,zone,1
arctic,storage,0
dragon,bearing,0
mass,brass,1
diamond,sky,0
claim,fame,1
soul,spirit,0
element,figure,0
brace,base,1
metal,currency,0
neighborhood,hood,1
chart,smart,1
meditation,consciousness,0
premier,sphere,1
belt,moon,0
sea,impression,0
recognize,exercise,1
parallel,farewell,1
beach,fishing,0
childhood,likelihood,1
tropical,damage,0
hell,tell,1
crown,brown,1
lion,mice,0
powder,graphic,0
mode,rode,1
unknown,loan,1
emphasis,influence,0
situated,square,0
discrete,beat,1
bridge,journal,0
grey,lens,0
holiday,hay,1
wisdom,man,0
mode,load,1
commitment,sense,0
purple,blue,0
hole,shallow,0
income,incorporated,0
medium,blue,0
trace,place,1
weak,sense,0
cemetery,climb,0
amplifier,desire,1
conference,devil,0
marshal,percentage,0
comic,guide,0
stand,band,1
own,grown,1
load,code,1
school,altitude,0
sleep,come,0
steam,regime,1
sky,magnitude,0
body,thinking,0
island,landing,0
play,hey,1
ocean,sleep,0
clarify,verify,1
earth,radius,0
leg,score,0
gallery,detail,0
peer,pioneer,1
diabetes,surgery,0
classification,freezing,0
habitat,combat,1
literally,refer,0
brand,understand,1
tank,radiation,0
poverty,square,0
fly,why,1
intersection,avenue,0
meaning,spelling,0
die,modify,1
are,seminar,1
opposition,presence,0
wall,wooden,0
fill,drill,1
regime,team,1
organ,floor,0
undergo,portfolio,1
place,interface,1
trace,bass,1
pale,yellow,0
told,enrolled,1
solar,star,0
window,glasses,0
imagine,labor,0
delight,polite,1
fat,nat,1
month,freezing,0
statue,screw,1
jar,par,1
organize,exercise,1
desire,prior,1
fiction,printed,0
lens,battery,0
unfair,warfare,1
food,reactor,0
burnt,brigade,0
hall,baseball,1
guide,biography,0
due,sue,1
cook,textbook,1
shadow,belly,0
alas,class,1
done,son,1
jar,radar,1
free,knee,1
spelling,refer,0
sculpture,painter,0
artillery,vector,0
colors,pants,0
elsewhere,pair,1
rock,metal,0
down,brown,1
surgery,disease,0
yield,concealed,1
beat,incomplete,1
drive,disk,0
finger,grip,0
drive,labour,0
color,blood,0
moon,noon,1
tea,thee,1
are,star,1
scene,between,1
hardware,anywhere,1
altitude,definition,0
net,goal,0
defeat,sheet,1
steep,sheep,1
wheat,neat,1
should,could,1
offspring,bring,1
signature,lock,0
component,factor,0
pink,orange,0
spirit,body,0
hong,belong,1
copy,imagine,0
ear,texture,0
province,income,0
plastic,channel,0
mouth,gulf,0
margin,pale,0
brick,dress,0
sphere,shear,1
football,call,1
fear,gear,1
rain,arctic,0
wore,door,1
mine,decline,1
frost,warm,0
you,few,1
rain,removal,0
soft,hearing,0
confined,behind,1
neighborhood,good,1
minimize,size,1
tennis,vector,0
otherwise,analyze,1
hire,acquire,1
mar,reservoir,1
embrace,workplace,1
understood,hood,1
green,colors,0
singh,ing,1
told,fold,1
radar,star,1
exterior,tomb,0
fitted,driver,0
explain,gain,1
remark,clark,1
tree,thee,1
gun,son,1
pan,japan,1
soil,mud,0
enterprise,emphasize,1
spring,string,1
fitted,lap,0
kind,declined,1
basal,fantasy,0
install,hall,1
component,signature,0
mass,bass,1
frame,shame,1
cardiac,condition,0
caught,score,0
wind,precipitation,0
enterprise,minimize,1
cast,vast,1
sing,string,1
spread,led,1
texture,purple,0
ignore,for,1
crystalline,genuine,1
thrown,shown,1
fill,kill,1
girl,theater,0
bay,grass,0
park,clark,1
metallic,belly,0
pulp,concrete,0
characterize,recognize,1
hay,spray,1
cover,mountain,0
land,inland,1
passing,junction,0
membrane,complain,1
sat,that,1
guru,pursue,1
marshal,magnetic,0
severe,peer,1
precipitation,hot,0
mold,household,1
everywhere,wear,1
dan,ann,1
elementary,definition,0
cardiac,rate,0
free,reality,1
read,shed,1
routine,screen,1
true,interpretation,0
gland,strand,1
gray,yellow,0
queen,prince,0
brass,ass,1
red,pale,0
journal,parking,0
bore,outdoor,1
imply,pie,1
concrete,altar,0
hardware,pair,1
ray,away,1
base,case,1
eat,heat,1
ocean,water,0
nearby,rely,1
yard,goal,0
bottle,panel,0
hygiene,between,1
near,year,1
hot,freezing,0
rainfall,small,1
quarter,tennis,0
overnight,bright,1
handbook,shook,1
distance,partial,0
rebel,farewell,1
wind,soviet,0
four,store,1
lane,intersection,0
hitherto,sue,1
beam,scheme,1
singh,ring,1
sequence,theater,0
door,lens,0
quick,algorithm,0
hart,part,1
ill,till,1
attack,crack,1
lane,hamlet,0
hart,art,1
pink,brick,0
colour,color,0
comic,printed,0
where,nowhere,1
island,sea,0
bring,singh,1
rescue,burned,0
sleep,cave,0
feedback,crack,1
premier,disappear,1
bring,spring,1
ahead,read,1
disk,copy,0
driver,suspension,0
crown,heir,0
pop,come,0
reactor,efficient,0
word,locality,0
manuscript,written,0
mill,fill,1
painter,photography,0
quick,enough,0
water,weather,0
manuscript,chapter,0
bite,upright,1
throw,pro,1
regime,seem,1
organ,wine,0
feedback,pack,1
links,advocate,0
land,command,1
guy,justify,1
factor,signature,0
will,fulfill,1
warm,ice,0
canyon,shallow,0
bark,chips,0
magnitude,newspaper,0
slow,algorithm,0
das,class,1
meditation,body,0
loss,dress,0
borrow,tomorrow,1
mark,clark,1
cut,fashion,0
literally,meaning,0
declined,assigned,1
refer,enzyme,0
pit,driver,0
explain,drain,1
elementary,sheriff,0
shopping,brick,0
reply,dye,1
railroad,rode,1
blood,wind,0
balloon,moon,1
merchandise,advise,1
nuclear,dry,0
steel,metal,0
burnt,safety,0
fed,lead,1
plain,reign,1
hong,song,1
wall,fall,1
ice,temperature,0
hormone,cone,1
throw,although,1
sculpture,powder,0
thin,ceiling,0
combine,mine,1
retain,terrain,1
everything,wing,1
beam,extreme,1
keen,routine,1
yellow,wine,0
volunteer,engineer,1
receipt,incomplete,1
tray,prey,1
reservoir,bay,0
self,mental,0
remark,park,1
avenue,guru,1
grass,mass,1
vector,kick,0
whether,indication,0
jerry,dog,0
wore,glasses,0
rely,whereby,1
gun,killing,0
sat,pat,1
though,row,1
define,decline,1
debris,degree,1
beach,railroad,0
quarter,goal,0
summit,climb,0
bowed,railroad,1
sand,stand,1
decree,guarantee,1
cor,folklore,1
throne,kingdom,0
tech,score,0
done,begun,1
exterior,pulp,0
extreme,seem,1
elevation,climb,0
reality,true,0
color,note,0
red,pink,0
everything,ring,1
leg,offense,0
led,head,1
interface,brace,1
ammunition,explosion,0
island,superior,0
apart,hart,1
pace,base,1
inscription,altar,0
opposing,shot,0
disk,hearing,0
brick,black,0
vast,contrast,1
arm,thumb,0
four,furthermore,1
layer,bottom,0
defined,combined,1
tan,ban,1
lock,figure,0
strand,command,1
leather,roof,0
grace,pace,1
encyclopedia,man,0
baseball,wall,1
telephone,hung,0
tea,pink,0
dynasty,queen,0
red,blue,0
hamlet,passing,0
parade,calendar,0
purple,coat,0
queen,dean,1
brick,downtown,0
race,grace,1
handbook,took,1
summit,ridge,0
case,replace,1
see,thee,1
chain,furious,0
household,hold,1
read,lead,1
midnight,spite,1
furthermore,store,1
copy,soft,0
rolled,enrolled,1
blame,game,1
nor,explore,1
bottom,sea,0
links,passing,0
underground,thick,0
hood,purple,0
suspension,ford,0
decorated,timber,0
heir,queen,0
realize,allies,1
purple,green,0
career,pioneer,1
van,span,1
stack,crack,1
weather,fell,0
enough,transform,0
frost,storm,0
took,look,1
medium,restaurant,0
tissue,two,1
white,colors,0
brain,body,0
prayer,manuscript,0
written,author,0
soul,psychology,0
coronary,disease,0
parade,weekend,0
enzyme,spelling,0
spot,feed,0
plastic,furniture,0
lay,birthday,1
bay,river,0
last,caste,1
